"VABC Liquor and Wines Price List Effective Date: April 01, 2017 - June 30, 2017",,,,,,
Description,Code,Brand,Size,Age,Proof,Price
STRAIGHT BOURBON WHISKEY,22246,Yellow Stone 7yr Limited Edition 2015 Ksbw,750ml,7YR,52.5,$104.99 
STRAIGHT BOURBON WHISKEY,22248,Yellowstone 7yr Limited Edition 2016,750ml,7YR,101,$99.99 
STRAIGHT BOURBON WHISKEY,22244,Yellowstone Select,750ml,,46.5,$49.99 
TENNESSEE WHISKEY,26582,Gentleman Jack Whiskey,1L,,80,$39.99 
TENNESSEE WHISKEY,26585,Gentleman Jack Whiskey,375ml,,80,$16.99 
TENNESSEE WHISKEY,26581,Gentleman Jack Whiskey,50ml,,80,$2.99 
TENNESSEE WHISKEY,26586,Gentleman Jack Whiskey,750ml,,80,$32.99 
TENNESSEE WHISKEY,26589,Gentleman Jack Whiskey,1.75L,,80,$64.99 
TENNESSEE WHISKEY,26594,George Dickel 14 Year Tennessee Whisey,750ml,,106,$64.99 
TENNESSEE WHISKEY,26654,George Dickel No. 12 Tennessee Whiskey,375ml,4YR,90,$13.49 
TENNESSEE WHISKEY,26656,George Dickel No. 12 Tennessee Whiskey,750ml,4YR,90,$25.99 
TENNESSEE WHISKEY,26657,George Dickel No. 12 Tennessee Whiskey,1L,4YR,90,$29.99 
TENNESSEE WHISKEY,26658,George Dickel No. 12 Tennessee Whiskey,1.75L,4YR,90,$45.99 
TENNESSEE WHISKEY,26604,George Dickel No. 8 Tennessee Whiskey,375ml,4YR,80,$11.49 
TENNESSEE WHISKEY,26606,George Dickel No. 8 Tennessee Whiskey,750ml,4YR,80,$22.99 
TENNESSEE WHISKEY,26607,George Dickel No. 8 Tennessee Whiskey,1L,4YR,80,$25.99 
TENNESSEE WHISKEY,26608,George Dickel No. 8 Tennessee Whiskey,1.75L,4YR,80,$40.99 
TENNESSEE WHISKEY,26879,Jack Daniel's 150th Anniversary Tennessee Whiskey,750ml,,86,$27.99 
